Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-04-13T08:00:00+02:00;4;Oberösterreich;104578
2021-04-13T08:00:00+02:00;5;Salzburg;46226
2021-04-13T08:00:00+02:00;6;Steiermark;69693
2021-04-13T08:00:00+02:00;7;Tirol;56335
2021-04-13T08:00:00+02:00;8;Vorarlberg;25695
2021-04-13T08:00:00+02:00;9;Wien;124378
2021-04-13T08:00:00+02:00;10;Österreich;578067
2021-04-14T08:00:00+02:00;1;Burgenland;16766
2021-04-14T08:00:00+02:00;2;Kärnten;36276
2021-04-14T08:00:00+02:00;3;Niederösterreich;98869
2021-04-14T08:00:00+02:00;4;Oberösterreich;105093
2021-04-14T08:00:00+02:00;5;Salzburg;46431
2021-04-14T08:00:00+02:00;6;Steiermark;70051
2021-04-14T08:00:00+02:00;7;Tirol;56602
2021-04-14T08:00:00+02:00;8;Vorarlberg;25785
2021-04-14T08:00:00+02:00;9;Wien;125200
2021-04-14T08:00:00+02:00;10;Österreich;581073
2021-04-15T08:00:00+02:00;1;Burgenland;16815
2021-04-15T08:00:00+02:00;2;Kärnten;36432
2021-04-15T08:00:00+02:00;3;Niederösterreich;99263
2021-04-15T08:00:00+02:00;4;Oberösterreich;105646
2021-04-15T08:00:00+02:00;5;Salzburg;46593
2021-04-15T08:00:00+02:00;6;Steiermark;70304
2021-04-15T08:00:00+02:00;7;Tirol;56858
2021-04-15T08:00:00+02:00;8;Vorarlberg;25902
2021-04-15T08:00:00+02:00;9;Wien;125620
2021-04-15T08:00:00+02:00;10;Österreich;583433
2021-04-16T08:00:00+02:00;1;Burgenland;16859
2021-04-16T08:00:00+02:00;2;Kärnten;36615
2021-04-16T08:00:00+02:00;3;Niederösterreich;99714
2021-04-16T08:00:00+02:00;4;Oberösterreich;106033
2021-04-16T08:00:00+02:00;5;Salzburg;46721
2021-04-16T08:00:00+02:00;6;Steiermark;70665
2021-04-16T08:00:00+02:00;7;Tirol;57076
2021-04-16T08:00:00+02:00;8;Vorarlberg;25987
2021-04-16T08:00:00+02:00;9;Wien;126177
2021-04-16T08:00:00+02:00;10;Österreich;585847
